date,temperature,humidity,luminosity,pressure
2022-11-17 15:10:08.913,25.3,32.7,99,1013.9
2022-11-17 15:10:03.869,25.4,32.8,97,1013.9
2022-11-17 15:09:58.826,25.4,32.7,100,1013.9
2022-11-17 15:09:53.782,25.4,32.6,100,1013.9
2022-11-17 15:09:48.739,25.4,32.6,100,1013.9
2022-11-17 15:09:43.694,25.4,32.7,99,1013.9
2022-11-17 15:09:38.650,25.4,32.7,100,1013.9
2022-11-17 15:09:33.606,25.4,32.7,100,1014.0
2022-11-17 15:09:28.563,25.4,32.8,100,1013.9
2022-11-17 15:09:23.519,25.4,32.8,100,1013.9
2022-11-17 15:09:18.476,25.4,32.8,99,1013.9
2022-11-17 15:09:13.433,25.4,32.9,99,1013.9
2022-11-17 15:09:08.389,25.4,33.0,100,1013.9
2022-11-17 15:09:03.345,25.4,33.2,100,1013.8
2022-11-17 15:08:58.302,25.4,33.2,99,1013.8
2022-11-17 15:08:53.257,25.5,33.3,67,1013.9
2022-11-17 15:08:48.214,25.5,33.5,18,1014.0
2022-11-17 15:08:43.170,25.5,33.3,74,1013.9
2022-11-17 15:08:38.127,25.5,33.0,75,1013.9
2022-11-17 15:08:33.084,25.5,32.9,75,1013.9
2022-11-17 15:08:28.040,25.5,32.8,74,1013.9
2022-11-17 15:08:22.998,25.5,33.0,75,1013.8
2022-11-17 15:08:17.954,25.5,33.1,74,1013.8
2022-11-17 15:08:12.910,25.5,33.1,74,1013.9
2022-11-17 15:08:07.866,25.5,33.2,74,1013.9
2022-11-17 15:08:02.822,25.4,33.3,75,1013.9
2022-11-17 15:07:57.778,25.5,33.3,75,1013.9
2022-11-17 15:07:52.735,25.5,32.9,75,1013.9
2022-11-17 15:07:47.691,25.5,32.7,54,1013.9
2022-11-17 15:07:42.648,25.4,32.7,74,1013.9
2022-11-17 15:07:37.606,25.5,32.8,74,1013.9
2022-11-17 15:07:32.562,25.5,32.8,74,1013.9
2022-11-17 15:07:27.518,25.4,32.9,74,1013.9
2022-11-17 15:07:22.474,25.4,32.9,74,1013.9
2022-11-17 15:07:17.430,25.4,32.9,74,1013.9
2022-11-17 15:07:12.386,25.4,32.6,71,1013.8
2022-11-17 15:07:07.342,25.4,32.5,71,1013.9
2022-11-17 15:07:02.299,25.4,32.6,74,1013.8
2022-11-17 15:06:57.256,25.4,32.5,74,1013.9
2022-11-17 15:06:52.212,25.4,32.5,74,1013.9
2022-11-17 15:06:47.170,25.4,32.4,74,1013.9
2022-11-17 15:06:42.127,25.4,32.4,74,1013.8
2022-11-17 15:06:37.082,25.4,32.6,74,1013.9
2022-11-17 15:06:32.039,25.4,32.6,74,1013.9
2022-11-17 15:06:26.996,25.4,32.5,75,1013.9
2022-11-17 15:06:21.951,25.4,32.6,75,1013.9
2022-11-17 15:06:16.908,25.4,32.6,75,1013.9
2022-11-17 15:06:11.865,25.5,32.7,74,1013.8
2022-11-17 15:06:06.821,25.4,32.7,74,1013.8
2022-11-17 15:06:01.777,25.4,32.7,75,1013.9
2022-11-17 15:05:56.734,25.4,32.6,75,1013.9
2022-11-17 15:05:51.690,25.4,32.6,75,1013.9
2022-11-17 15:05:46.646,25.4,32.6,74,1013.9
